tamanho,tipo,tempo
10,Crescente,3e-07
100,Crescente,3e-07
1000,Crescente,1e-06
10000,Crescente,8.3e-06
100000,Crescente,9.96e-05
1000000,Crescente,0.0007974
10,Decrescente,3e-07
100,Decrescente,1.39e-05
1000,Decrescente,0.0009617
10000,Decrescente,0.106261
100000,Decrescente,10.2698
1000000,Decrescente,1156.37
10,Randomico,4e-07
100,Randomico,3.03e-05
1000,Randomico,0.0010324
10000,Randomico,0.094531
100000,Randomico,17.7803
1000000,Randomico,1954.39
