tamanho,tipo,tempo
10,Crescente,3e-07
100,Crescente,7.7e-06
1000,Crescente,0.0003969
10000,Crescente,0.0357046
100000,Crescente,3.77752
1000000,Crescente,403.486
10,Decrescente,8e-07
100,Decrescente,1.06e-05
1000,Decrescente,0.0004033
10000,Decrescente,0.0366784
100000,Decrescente,3.91593
1000000,Decrescente,412.212
10,Randomico,1.2e-06
100,Randomico,1.01e-05
1000,Randomico,0.0004103
10000,Randomico,0.0356235
100000,Randomico,3.70861
1000000,Randomico,392.715


